entrezgene,FDRPval_m1m2,FDRPval_m2m2a,FDRPval_m7m8,FDRPval_m8m8a,FDRPval_busted,Prop_m2,Omega_m2,Omega_m0,prop_sel_branches,length,nseq
429033,1,1,0,1,0,0.032,1,0.10776,0.5217391304347826,3285,36
NA,1,1,1,1,0.3127238146434441,0,1,0.00262,0.17777777777777778,1122,24
422699,1,1,2.70408793028709e-13,0.234871240394902,4.808691226120138e-13,0.002,2.28436,0.09585,0.1746031746031746,858,33
395512,1,1,1,1,0,0.034,1,0.085319999999999993,0.20388349514563106,1164,53
100857565,1,1,1,1,1,0,1,0.00578,0.11827956989247312,555,48
NA,1.33874348742849e-4,2.17204039976004e-5,2.76817248601106e-15,3.22197988453952e-11,0,0.091,2.27641,0.60775,0.12244897959183673,1068,26
100858068,1,1,0.00564116445529627,0.848571480471458,1,0.059,1,0.13697,0.12195121951219512,807,22
417764,0,0,0,0,2.1934039707171682e-10,0.025,3.16834,0.43714,0.6521739130434783,5598,36
427942,0,0,0,0,0,0.059,3.01008,0.53819,0.47540983606557374,4143,32
772006,1,1,0.00351075261800431,0.513178167071797,1,0.007,1,0.0159,0.05263157894736842,423,30
101749340,1,1,7.08687025718735e-12,0.572730092933818,0,0.046,1,0.06625,0.2054794520547945,1317,38
101749322,1,1,1.12412197024594e-4,0.407431587832991,1.7549202151917907e-7,0,40.27887,0.10908,0.2727272727272727,2073,29
423644,1,1,0.459615885565595,0.0941259064635633,7.608824377737154e-4,0,8.46946,0.05998,0.06172839506172839,2562,42
NA,0,0,0,0,0,0.029,2.9243,0.53489,0.2537313432835821,4974,35
101751815,1,1,0.732670362530593,0.878738421118639,3.480551121505126e-6,0.023,1,0.06463,0.10126582278481013,960,41
101750018,1,1,7.18323240040847e-16,1,5.347526477298218e-4,0.025,1,0.08584,0.14432989690721648,1929,50
430477,1,1,0.079073013522729,0.304195071734182,0,0,88.50192,0.14843,0.6666666666666666,2172,21
426548,1,1,0.396937250260542,0.234331296850932,1.1092079030207445e-7,0.025,1,0.06651,0.2830188679245283,1017,28
431566,0,0,0,0,0,0.011,3.20083,0.24575,NaN,17559,40
418795,1,1,3.41296841848543e-5,1,5.265960608763172e-4,0.062,1,0.25877,0.0379746835443038,954,41
428021,1,1,0.730733205564479,1,1,0,33.05239,0.01921,0.05970149253731343,618,35
417256,1,1,1.43031335001297e-5,0.913665141714292,1.4515293300628336e-6,0.009,1,0.06368,0.15053763440860216,1986,48
424998,1.49289666783501e-6,2.05222032785359e-7,0,3.13596161880301e-15,0,0.012,3.11294,0.23361,0.38461538461538464,3369,34
100859045,1,1,0.670125347508957,0.707632414448914,0.07009138016618018,0.004,1,0.07465,0.10112359550561797,1461,46
101748402,1.46072399823862e-10,1.60338648507153e-11,0,7.23675051176245e-8,0,0.002,3.81688,0.11704,NaN,13278,47
420346,1.05943613937445e-6,1.44134820305441e-7,0,1.15513818726022e-13,0,0.015,2.41085,0.31718,0.25287356321839083,2748,45
101751244,1.21724799437458e-11,1.27315151885073e-12,0,1.00187754172661e-12,0,0.006,3.18542,0.21287,0.38961038961038963,8226,40
100858952,0,0,0,0,0,0.097,2.49395,0.59724,0.4931506849315068,4644,38
395554,1,1,0.0281700117544805,1,1,0,24.28564,0.01549,0,333,37
101747382,1,1,1.31339519313388e-9,4.46116508294575e-4,0,0.122,1,0.3073,0.40540540540540543,2283,20
417469,0.007596984650201,0.00154461309786233,8.02859029704817e-15,5.27843922743169e-4,0,0.004,2.9925,0.30533,0.37373737373737376,2442,51
420512,1,0.407563513709192,6.86216626412319e-8,2.64212739909826e-4,8.218639428118552e-7,0.013,2.1838,0.25922,0.1368421052631579,660,49
418523,1,1,4.1334147493812e-7,1,1,0.028,1,0.05327,0.037383177570093455,291,55
424526,2.0162592231632e-4,3.33220256131876e-5,0,5.77829964946112e-14,0,0.057,2.08823,0.44642,0.2,1641,39
421358,1,1,0,0,0,0.025,1,0.21433,NaN,13365,49
416932,1,1,5.26651033285837e-7,0.26252837878748,0.8852552501500301,0.101,1,0.21372,0.09523809523809523,375,33
429083,1,1,5.18904467106596e-6,0.0151408332779479,4.607150677777611e-9,0.027,1,0.1341,0.09333333333333334,1473,39
421282,1,1,0,7.68569196840819e-9,0,0.132,1,0.16155,0.26666666666666666,3063,39
427658,1,1,2.4393391971448e-7,0.368871630293236,0.04153024068229186,0.067,1,0.12889,0.056338028169014086,1071,37
428167,1,1,4.09102935398467e-15,2.24417829260975e-4,0,0.138,1,0.2076,0.20224719101123595,1203,46
101749904,1,1,3.96754311902201e-5,0.0244599026571804,0.0011012439156351179,0.153,1,0.29945,0.14035087719298245,1536,30
429823,0.176829323584492,0.0486838492711376,0,8.26292362687317e-7,0,0.001,3.05136,0.19906,NaN,13749,37
424623,1,1,1,0.120628921143396,1,0,2.42874,0.00431,0,564,37
100857831,1,1,1,0.342918682226513,0.9133796467113022,0.017,1,0.06213,0.07368421052631578,300,49
100858010,9.40939269628201e-13,9.49106193479079e-14,0,0,0,0.013,3.53022,0.2443,0.40816326530612246,3771,26
101749545,1,1,1,0.91269512507906,1,0,10.63283,0.00644,0,318,36
428448,2.40369698773672e-5,3.63635258811263e-6,0,1.33455852642725e-10,0,0.012,3.56036,0.43611,0.32653061224489793,3258,26
373935,1,1,0.019743196699618,1,1,0.008,1,0.03315,0.01639344262295082,1119,32
424355,1,1,3.96780053885073e-11,1.44444057290786e-6,0,0.107,1,0.31532,0.20634920634920634,1806,33
427025,1,1,1.26898273471283e-4,1,0,0,9.41837,0.0607,0.13592233009708737,5175,53
101752129,1,1,4.85915577897061e-6,0.20931621918001,1,0.325,1.12693,0.4165,0.0410958904109589,213,38
422633,1,1,0.00637779792213656,0.346877747680477,0.12548964808781204,0.04,1,0.23643,0.11475409836065574,402,32
101751771,1,1,1,1,2.084776599621866e-6,0.001,1,0.01963,0.0761904761904762,819,54
420678,1,1,0.0350870657209621,1,1,0,23.29492,0.02994,0.01904761904761905,255,54
428753,1,1,0,0.276862181136639,0,0.083,1,0.17687,0.14084507042253522,2148,37
100859171,1,0.619684616636388,1.07459043358991e-6,0.0723959594417033,1.383736858181843e-12,0.015,1.76483,0.02733,0.1694915254237288,618,31
426806,1,1,6.40005848282858e-7,0.173057150658744,4.434343070811749e-5,0.037,1,0.14949,0.11392405063291139,507,41
423315,1,1,0.005916409519579,1,0.38218174393372784,0,21.59097,0.01416,0.013333333333333334,1926,39
425562,1,1,1,1,1.4161728504453118e-12,0,3.27248,0.00662,0.056338028169014086,315,37
769770,1,1,0.527468399317797,1,1,0,7.84684,0.06329,0.02247191011235955,138,46
427242,0,0,0,0,0,0.054,2.77315,0.58526,0.2823529411764706,3513,44
101748001,0.759463834465778,0.270682745148359,3.87957508039427e-5,0.116538988637931,5.063936865984359e-14,0.009,3.477,0.68631,0.09523809523809523,393,33
396081,1,1,0.0236705266311997,0.736008416913701,0.40216282319738356,0.004,1,0.00681,0.033707865168539325,702,46
418669,1,1,1,1,0.002724959564514878,0,1.13021,0.02432,0.04854368932038835,330,53
100858895,4.08992938771863e-13,4.02796076063197e-14,0,0,0,0.011,2.72064,0.20133,0.56,8652,39
769860,1,1,1,1,3.4560084568649442e-9,0,18.98068,0.03983,0.15873015873015872,1380,33
416997,1,1,0,0.0143868635581214,0,0,25.26194,0.06992,0.36,6564,39
427648,0.211004831733292,0.0595457322500318,0,4.79799879730245e-5,0,0.003,2.77647,0.08242,0.19718309859154928,4167,37
428831,0.0165373488900821,0.00356215600507964,2.28158061769672e-11,0.00340536113688702,0.12994626335855297,0.004,5.65834,0.25919,0.10204081632653061,912,26
420304,1,1,0.14566802688785,0.884585849929044,1,0.022,1,0.09033,0.05263157894736842,642,30
770729,1,1,1,1,0.014187777333001268,0.17,1,0.23368,0.047058823529411764,156,44
769595,1,1,1.09500739814953e-4,1,9.682673540208493e-4,0,1,0.00782,0.028169014084507043,516,37
424048,1,1,0,7.14841193747767e-14,0,0.071,1,0.22955,0.22950819672131148,11235,32
776920,0.0162046155017671,0.00348429224377915,1.24747779955712e-6,0.00433936148435609,0,0.001,8.77927,0.20019,0.49056603773584906,2946,28
430532,1,1,1.16078252740276e-13,6.42346884997793e-4,0,0.038,1,0.22578,0.2876712328767123,3369,38
418415,1,1,1.6239905703227e-8,0.300869060544769,1,0.082,1,0.18494,0.15492957746478872,903,37
429057,0,0,0,0,0,0.113,3.09435,0.60669,0.3972602739726027,2646,38
419262,1,1,1,1,0.1661125071069425,0.038,1,0.08961,0.12903225806451613,1146,48
425457,1,1,0,0.135807139304827,1,0.04,1,0.12938,0.21686746987951808,3663,43
424542,1,1,8.3797651676841e-12,0.0620217496357969,1,0,50.13813,0.00568,0.07058823529411765,1008,44
424936,1,1,1,1,0.1285899874090233,0,1.51763,0.07852,0.16393442622950818,882,32
NA,1,1,1,1,0.03790118409206574,0,14.11201,0.00392,0.08108108108108109,774,20
420523,0,0,0,0,0,0.012,3.04483,0.27533,0.2,8580,39
423974,1,1,6.97132723403976e-7,0.919681186958723,8.948315339736195e-13,0.031,1,0.23554,0.2336448598130841,930,55
422170,1,1,2.08863727234806e-5,0.252777118663769,0.0029430709365317405,0.158,1,0.30424,0.13333333333333333,627,24
428482,1,1,0.00113975730370924,0.136621854270059,0.7498638084229099,0.039,1,0.19414,0.05194805194805195,1041,40
101751738,1,1,0.0016732311004942,0.0456589239888931,1,0.048,1,0.12808,0.2608695652173913,2628,36
427126,1,1,1,0.839813674637485,0.008493781899910718,0,16.13822,0.11668,0.18556701030927836,2289,50
420242,0.119709615165935,0.0313676330920647,0,4.92623933653555e-8,0,0.004,2.4557,0.18076,0.3188405797101449,6774,36
771220,1,1,1,1,1,0,9.33451,0.03329,0,126,41
101750334,0.542280949332357,0.17961057110445,1.96880797646257e-8,0.00479495633187883,3.5523492473259585e-6,0.08,1.79428,0.32724,0.1568627450980392,897,27
421409,1,1,1.78068887757705e-4,0.00575606636867362,1,0.002,3.21508,0.0396,0.09333333333333334,1044,39
420923,1,1,1,1,1,0,11.31826,0.10413,0.015873015873015872,243,33
420919,1,1,1.87390296425579e-4,1,2.3818562152941894e-5,0,32.93684,0.00565,0.10666666666666667,4635,39
423098,1,1,0.825161040602173,1,0,0.004,1,0.01031,0.07058823529411765,1881,44
429693,1,1,3.74290431781256e-8,1,0,0,8.83932,0.04237,0.12658227848101267,2748,41
100858511,0.403926019563414,0.126368518690858,2.73362841091018e-9,4.64937354076597e-4,3.6757232940435496e-11,0.025,2.38233,0.41312,0.1509433962264151,534,28
427050,1,1,0,0.299026545991445,0,0.017,1,0.1318,0.26666666666666666,8613,39
419941,1,1,2.26441802758291e-5,4.81863332431231e-4,1,0.067,1,0.22292,0.06172839506172839,816,42
427968,1,1,0.367200514470441,1,0.8616727422134182,0,9.01589,0.10824,0.0273972602739726,1950,38
420706,1,1,1.06315335016264e-13,7.87605658800426e-8,0,0.157,1,0.23259,0.3655913978494624,1296,48
768624,1,1,1,0.931791866930202,1,0.025,1,0.04352,0.028169014084507043,258,37
395398,1,1,1,0.0119460086840587,1,0,32.32005,0.01081,0,2130,35
420763,1,1,1,0.592746102852325,0.9790537694997208,0.026,1,0.06648,0.11926605504587157,831,56
771085,1,1,1,0.897717714978347,1,0.067,1,0.13234,0.014084507042253521,321,37
101747242,1,1,1,0.816425668621921,2.0950113318176517e-7,0,11.42288,0.01234,0.07692307692307693,417,34
420031,1,1,1,1,0,0,9.27496,0.03551,0.21052631578947367,717,30
419469,1,1,0,1,0,0,36.78544,0.02285,0.3013698630136986,15351,38
423965,1,1,1,1,0.008919374929797498,0.115,1,0.14602,0.11475409836065574,372,32
417669,1,1,0.0140765773567379,0.608162080520716,1.8588649812093061e-4,0,10.1527,0.03708,0.07692307692307693,702,47
420735,1,1,0.00649493735175838,1,0.03876046855097323,0.001,1,0.01595,0.057971014492753624,1263,36
426893,6.3318106817196e-5,9.94799646463449e-6,1.41627429516845e-15,2.00053913240569e-12,3.100787168221523e-8,0.043,2.64571,0.43966,0.043478260869565216,672,36
396446,1,1,9.91486857968555e-11,0.300416344506077,0,0.015,1,0.02991,0.18446601941747573,2646,53
417298,1,1,0.00125915013803566,1,0.8154632113376051,0.036,1,0.16864,0.09836065573770492,723,32
426163,1,1,1,1,0,0,63.3381,0.04157,0.4489795918367347,3147,26
415372,1,1,1,1,0.8963348859950249,0,21.72124,0.02742,0.020202020202020204,246,51
374065,1,1,5.70578475392979e-5,0.481514324326985,9.692786126020538e-5,0,12.74613,0.00955,0.05333333333333334,2574,39
422080,0,0,0,0,0,0.032,3.01391,0.3477,NaN,13614,50
414343,0.00321425403591101,6.17292308474459e-4,2.70064710576729e-6,4.13574655290432e-6,0.03358436584893953,0.078,2.56495,0.44639,0.08791208791208792,177,47
101751642,1,1,6.39802731761506e-5,0.0108516189255717,8.336991079315762e-4,0.031,1,0.33537,0.16417910447761194,756,35
419149,0.349394532719437,0.106643442376703,2.53572165882807e-13,0.00629883083991373,0,0.023,2.04351,0.52534,0.3492063492063492,1263,33
424003,1,1,0,1,0,0,38.32496,0.04649,NaN,9450,41
100857507,1,1,1,1,0.7610894714617887,0,1,0.03618,0.03529411764705882,375,44
101750258,0.00301910122111913,5.7705132110331e-4,3.14645461619823e-8,0.00493929845282872,0.21549400431901838,0.005,5.65238,0.33313,0.06666666666666667,1194,24
420583,1,1,0.0353612385923268,1,0.811122427661674,0,27.39087,0.03153,0.13333333333333333,2370,39
428331,1,1,1.51786604247959e-5,0.417610538969562,2.3936408410918375e-13,0.068,1,0.09687,0.1320754716981132,1098,28
415668,1,1,0,0.0603039617858643,0,0.017,1,0.05608,0.12,2898,39
428587,1,1,0,1,0,0.018,1,0.04783,0.15730337078651685,2766,46
421259,0.00586652368290727,0.00117114407039713,6.14434178595598e-12,9.24378587014301e-8,0,0.128,2.04312,0.57484,0.21311475409836064,555,32
423049,1,1,2.59710840934351e-12,1,0,0.042,1,0.08472,0.1839080459770115,3456,45
422046,1.26445583901361e-7,1.61898740520418e-8,1.05912686421293e-14,1.34688423483842e-14,1.402940054155294e-5,0.038,3.33206,0.42771,0.12371134020618557,342,50
396100,1,1,6.95314276260041e-4,0.804302394379539,0.007991102780294279,0.016,1,0.03534,0.06796116504854369,402,53
416526,0.0563408152293926,0.0135911003579567,0,9.06002678720872e-4,0,0.001,4.22668,0.07937,0.463768115942029,4392,36
426493,1,0.015718966547071,1,1,0.003320609777080419,0,1.19431,0.00747,0.2702702702702703,1569,20
100859110,1,1,1.84917094910147e-4,0.918420334395798,8.114447509197482e-5,0,1.94199,0.09059,0.09230769230769231,414,34
420006,1,1,1.86350545964843e-4,0.822617404079946,0,0.014,1,0.07466,0.1891891891891892,1536,57
100859400,2.60837425924439e-6,3.64922217603224e-7,0,3.02168090549059e-12,0,0.006,4.44666,0.22857,0.15584415584415584,2151,40
424336,1,1,0.121408955444133,1,0,0,14.36034,0.01514,0.05333333333333334,846,39
420666,1,1,0.0494670800391553,0.453823972858675,1,0.026,1,0.18699,0.0410958904109589,354,38
416102,1,1,0,1,0.06556959845391284,0,22.59476,0.13277,0.1111111111111111,3675,42
395590,1,1,1,0.648144069815639,1,0.005,1,0.0313,0.10144927536231885,525,36
420015,1,1,8.5925092600651e-8,0.19910997715173,5.23508421861441e-7,0,44.05354,0.11611,0.2807017543859649,1737,30
415943,0,0,0,0,0,0.017,2.53043,0.30479,NaN,10221,41
426068,1,1,5.5939430462435e-13,0.332433336201135,1,0,20.83323,0.06343,0.2535211267605634,5535,37
420769,0.0198226901348668,0.00433837241779106,0,7.67597001404428e-15,0,0.011,2.42753,0.18989,0.18181818181818182,3222,40
100859608,1,1,0.0178362424893513,1,0,0.004,1,0.03718,0.09523809523809523,966,33
374051,1,1,1,0.710465252709694,0.45802876953112603,0,30.07244,0.06008,0.01818181818181818,567,29
100859194,1,1,1.89401088703309e-11,0.123346279798195,1,0.016,1,0.041,0.3582089552238806,2280,35
419369,1,1,3.36562663837931e-4,0.00370670040410216,1,0.047,1,0.06251,0.08235294117647059,4020,44
417389,1,1,1,1,6.821652068323844e-6,0,1,0.01235,0.023529411764705882,636,44
769646,0.179428291450402,0.0494976461571701,1.75081756077637e-4,2.33770717824383e-4,0,0.037,2.38283,0.51324,0.22388059701492538,387,35
101751218,1,1,3.14700546091402e-6,0.053781807142898,1.0144505605802576e-5,0.002,2.96785,0.06592,0.07936507936507936,813,33
396484,1,1,1,0.880846239937689,0.6996727553083864,0,5.57811,0.00778,0.029850746268656716,426,35
100857693,1,1,3.12990166283674e-6,0.0834009816289242,0.033790382860139974,0,25.99531,0.12102,0.08771929824561403,894,30
424009,0.296267866569919,0.0880199282019991,8.64804422735232e-7,9.44989746169344e-4,0,0.03,2.40645,0.42076,0.16923076923076924,843,34
693263,1,1,0.0340152492579961,0.28240199312805,0.20178331553300638,0.042,1,0.13749,0.21568627450980393,972,27
770322,1,1,0.0793246066369374,1,1,0.049,1,0.128,0.03278688524590164,300,32
423106,4.88787268167032e-9,5.77682300143916e-10,0,0,0,0.076,2.48314,0.5483,0.37777777777777777,1422,24
431235,1,1,0.0124086477026071,0.935441455010696,0.7616681314599701,0.038,1,0.1173,0.23809523809523808,456,33
422501,1,1,0.00964822158406357,0.114066911442668,1,0.021,1,0.11825,0.010526315789473684,249,49
427850,1,1,0,0.206538149480349,0,0,58.25709,0.04208,0.06493506493506493,8298,40
770077,1,1,1,1,1,0,1,0.11834,0.01818181818181818,111,29
425935,2.74432491383717e-14,3.35663396719333e-15,0,0,0,0.123,2.53047,0.54335,0.3469387755102041,825,26
396370,1,1,0,0.281896731792559,0,0,41.03326,0.12437,0.44776119402985076,4611,35
NA,8.29988581620732e-4,1.47089802846121e-4,7.38328156080691e-15,3.4536821101392e-6,1.6099052605608005e-14,0.014,2.98654,0.14478,0.24096385542168675,1047,43
100859435,1,1,1,0.664616208004127,1,0.008,1,0.02042,0.029850746268656716,312,35
427288,7.88612222192375e-4,1.39367833528416e-4,0,2.80525721534729e-7,0,0.014,3.15958,0.15001,0.2545454545454545,1386,29
428779,1,1,3.49631242059299e-6,1,1,0.009,1.05168,0.0134,0,345,46
427280,1,1,2.94968302981965e-5,0.494142049172769,9.760075021162102e-4,0.084,1,0.17927,0.12658227848101267,687,41
395582,1,1,3.76053520795282e-6,0.972659238624813,0.013620050486813709,0,6.24757,0.02751,0.05454545454545454,597,29
419244,1,1,1,1,0.0011756914815965326,0,1.0149,0.00728,0.09278350515463918,1035,50
100857891,1,1,0.432163689110424,1,0.9876496279602762,0.01,1,0.16045,0.009174311926605505,267,56
100858414,1,1,1.06536184420112e-8,0.720798664298499,0.020218898200851734,0.019,1,0.08362,0.15789473684210525,828,49
421811,0,0,0,0,0,0.006,2.78835,0.20823,NaN,16590,38
430303,1,1,0,0.167796398057435,0,0,96.30224,0.1552,0.47761194029850745,4647,35
101750349,8.41071599240772e-14,6.50347831143704e-15,0,0,0,0.015,2.60148,0.34138,0.38666666666666666,6684,39
431590,1,1,6.67176745628422e-9,0.192256177686453,1.7463386885647524e-12,0,33.65625,0.02627,0.10144927536231885,1230,36
423489,1,1,0,2.48582134214836e-7,0,0.047,1,0.15528,0.31645569620253167,5763,41
770891,1,1,0.137169527804618,0.15422182394614,8.63477168189355e-9,0.052,1,0.25104,0.2676056338028169,1104,37
100859779,1,1,7.33453393786438e-4,0.440052172879561,6.492287087941844e-15,0.002,1,0.00764,0.0891089108910891,2400,52
415849,0.00595616164195323,0.00119048818532832,0,0.0142476509376918,0,0.001,11.04948,0.08269,0.4406779661016949,5946,31
425522,1,1,5.50606872957552e-6,0.116677607223436,1,0,35.93471,0.02303,0.08,762,39
724086,1,1,1,1,1,0,48.29968,0.03843,0.09876543209876543,687,42
426573,1,1,1,1,0.0069695715374559954,0.008,1,0.01582,0.1111111111111111,777,42
418892,0,0,0,0,0,0.033,2.33375,0.35223,0.30120481927710846,4983,43
428133,1,1,1,1,0.011246330888828288,0,4.21819,0.00755,0.06329113924050633,1272,41
417780,1,1,0.0184398195054389,1,0.0031164581946318145,0.004,1,0.13834,0.023529411764705882,240,44
422016,1,1,1,0.195281673734548,0,0,33.15774,0.07878,0.3283582089552239,2697,35
424885,1,1,1,1,0.13224561316459085,0.034,1,0.16033,0.028985507246376812,612,36
428435,1,1,1,1,7.660204463058252e-8,0,39.6347,0.03563,0.1095890410958904,807,38
418889,1,1,1.77955039826161e-5,1,3.994841414344931e-7,0.006,1,0.04815,0.04597701149425287,435,45
418914,0.129290770539901,0.0341906514789961,1.43461096313996e-8,0.00362995588097029,1.881096955075298e-4,0.026,2.54709,0.26861,0.15873015873015872,435,33
772014,0.0181617502485911,0.00394510115658759,0,1.19085536059111e-6,0,0.047,1.91213,0.57033,0.3111111111111111,3900,24
777044,1,1,0.0123117828788524,0.175685909142744,1.269327192590081e-4,0,25.47778,0.02526,0.14084507042253522,2562,37
420659,0.0645149472773123,0.0157762522736455,1.5381954049843e-5,5.22219797400292e-5,0.3216748545379326,0.029,3.42202,0.20035,0.09090909090909091,297,29
NA,1,1,0.0933678715204132,0.304725283812521,1,0.178,1.4185,0.61823,0.07692307692307693,558,21
373980,1,1,1,0.607138156205465,7.985612867390109e-10,0,12.59422,0.08959,0.1232876712328767,150,38
424523,0,0,0,0,0,0.072,2.78522,0.53013,0.42105263157894735,2736,30
374017,1,1,1,0.920302137141521,0.002722684171020988,0,4.42209,0.05114,0.12195121951219512,519,22
427394,0,0,0,0,0,0.048,2.74632,0.57744,0.5737704918032787,6303,32
NA,1,1,0.0913511680400231,0.568160875830282,0.9485042442816304,0,30.46731,0.03185,0.02702702702702703,810,20
418435,1,1,1,0.962338440644157,1,0.044,1,0.07921,0.01694915254237288,255,31
418682,1,1,0,1,0,0,28.8023,0.0294,0.2,14496,39
770190,1,1,1,0.838242658506155,0.25747434797613844,0.023,1,0.08479,0.07317073170731707,165,22
777179,1,1,1,1,1,0,3.04298,0.02727,0.21052631578947367,510,30
428219,1,1,5.75522524143193e-5,1,0,0,38.05907,0.07192,0.2753623188405797,2688,36
395804,1,1,1,1,0,0,1,0.01568,0.1553398058252427,840,53
420874,1,1,1,1,1,0.092,1,0.21641,0.08163265306122448,180,26
427493,1,1,4.30334651046222e-4,0.33271367414528,0.5107795454297872,0.066,1,0.1918,0.07058823529411765,735,44
427236,1,1,0,1,0,0.041,1,0.11852,0.34579439252336447,3840,55
422183,1,1,0.138430950986939,0.644473954998596,1.7916737680946563e-5,0.123,1,0.15033,0.1111111111111111,972,42
425754,1,1,1,1,7.060653841910709e-6,0.006,1,0.02553,0.060240963855421686,426,43
416190,1.68523799901224e-4,2.7618311554142e-5,1.80934172636375e-14,8.28732350034968e-12,2.1978209672726597e-8,0.08,2.34392,0.52957,0.16923076923076924,636,34
418770,1,1,0.00376942769475953,0.628843380785236,0,0,1.44749,0.01375,0.06493506493506493,3450,40
430998,1,1,1,0.964185021729396,2.7545332941326108e-5,0,33.23702,0.0122,0.1016949152542373,1392,31
420979,1,1,1,1,0.07552448647572575,0.021,1,0.05039,0.05333333333333334,414,39
770462,1,1,1,0.436525629681124,1,0,30.30405,0.02098,0.07692307692307693,1092,21
420648,1,1,3.36883126657318e-4,0.255779826781567,0,0.025,1,0.14946,0.1780821917808219,2145,38
NA,1,1,5.06514956204502e-4,0.861656825329505,0.004019068329720156,0.004,1,0.08788,0.10909090909090909,540,29
101750781,1,1,0,0.660415874799159,4.335627084536667e-12,0.017,1,0.04103,0.1919191919191919,1182,51
769385,0.43580850585962,0.138209542601511,7.18323240040847e-16,1,0,0,3.76396,0.06627,0.3924050632911392,6498,41
429156,1,1,0.581197684078643,0.950797080796951,4.665506375796933e-6,0.034,1,0.24907,0.0821917808219178,2331,38
422689,3.60886657744485e-15,0,0,0,0,0.012,2.84325,0.21643,0.6491228070175439,11103,30
429030,1,1,0,1.80842393089538e-5,0,0,81.68117,0.09325,0.3698630136986301,6129,38
420437,1,1,0,0.00224880745987979,0,0,71.76991,0.1299,NaN,13683,40
418769,0.46170566502348,0.148032770264193,5.87501988759358e-4,0.00195661404731809,8.172677918382852e-10,0.024,3.46225,0.13789,0.12307692307692308,585,34
418164,1,1,0,0.209892844940951,0,0.068,1,0.15613,0.4235294117647059,5694,44
421461,0.138559837952755,0.0369556732288241,0,1.61583356971568e-7,1,0.005,2.79504,0.10821,0.2268041237113402,2649,50
417601,1,1,0,1,0,0.029,1,0.06351,0.45569620253164556,6012,41
424352,2.65893398933128e-6,3.72238140203685e-7,0,0,0,0.014,2.5227,0.22003,0.32,3990,39
428572,0.253389970324902,0.0734318688945619,2.01380523250441e-7,0.0224545786228233,0,0.009,2.7638,0.26786,0.1780821917808219,1479,38
NA,1,1,1,0.559053011306002,0.26963821014959094,0,29.01334,0.0423,0.23404255319148937,1572,25
425846,1,1,0.00430120419915543,0.0567366746871923,0,0,227.14966,0.04456,0.4418604651162791,9708,23
428282,1,1,1,1,1,0,22.94635,0.03618,0.32653061224489793,1002,26
429171,1,1,0.0451508800416619,1,1.1721709806150069e-8,0,22.77421,0.03865,0.17391304347826086,1434,36
771445,0,0,0,0,0,0.028,2.66244,0.35217,NaN,5547,40
101749117,1,1,0,1,0,0.022,1,0.11491,0.3013698630136986,3258,38
427010,1,1,7.36981920038272e-4,0.693222622791667,0,0,36.72434,0.07394,0.28421052631578947,3057,49
101750009,1,1,1,1,1,0,3.02545,0.01186,0,300,31
771904,1,1,1,1,0.09402829866177004,0,24.90975,0.03822,0.014084507042253521,273,37
424161,0,0,0,0,0,0.139,3.07231,0.62022,0.17142857142857143,762,54
429514,1,1,0.97054480904856,1,1,0.037,1,0.15745,0,312,24
418826,1.40299756831002e-14,0,0,0,2.1447454863582258e-7,0.05,2.7029,0.41128,0.19480519480519481,1308,40
