entrezgene,entrezgene_hs,hsapiens_homolog_orthology_confidence
107053203,201725,1
423871,22978,1
420554,5189,1
107053341,27339,1
423417,79890,1
395560,8829,1
107057377,5425,1
100858751,339390,0
100858751,2208,0
426844,497661,1
417173,2889,1
425449,NA,NA
554220,23440,1
772357,10244,1
421466,1545,1
427193,64417,1
420465,219770,1
395254,2281,1
420556,79645,1
395620,6000,1
428240,25833,1
100858042,219539,1
422979,8048,1
395069,NA,NA
421168,10765,1
421816,135293,1
419159,140710,1
771980,286336,1
422903,57654,1
422903,285464,1
770342,114818,1
422060,4224,1
422625,23484,0
423255,26037,1
419861,3290,1
395159,NA,NA
428420,783,1
423014,5330,1
416830,57605,1
417258,29882,1
423460,5527,1
423642,55847,1
107049127,5267,0
107049127,327657,0
107049127,866,0
107049127,390502,0
107049127,12,0
107049127,5265,1
107049127,5104,1
107049127,256394,0
107049127,145264,1
107049127,6906,0
421886,54511,1
693249,823,1
770043,147372,1
422064,442213,1
420370,155061,0
420370,100289678,0
693263,114770,1
421833,4907,1
395394,9965,1
420261,79870,1
422792,7358,1
423124,7439,1
395735,5009,1
396204,4856,1
419862,80342,1
427955,2596,1
421921,129607,1
424706,26135,1
419760,NA,1
419760,10179,1
396223,4001,1
100859742,NA,NA
419831,148808,1
418647,79161,1
421375,9926,1
425119,51111,1
427350,9933,1
107056599,8942,0
428516,4158,1
425985,23246,1
419046,57542,1
378798,414,1
107057099,51333,0
421371,55248,1
428801,344167,1
420747,6100,1
416757,9894,1
107053469,NA,NA
373949,27087,1
421484,25909,1
417705,26959,1
395194,7094,1
100859215,NA,NA
107052761,392255,1
426340,55080,1
423242,197131,1
396157,4915,1
419866,515,1
422320,NA,NA
417849,144453,1
100858912,8727,1
374006,6303,1
426544,54855,1
420249,6674,1
107055907,140732,0
107055907,6676,0
417032,80024,1
423411,55671,1
426076,55526,1
107050501,63905,0
396362,3375,1
396102,7804,1
419863,3664,1
404302,6572,1
374188,5664,1
423518,5583,1
423019,6888,1
100861562,NA,NA
428360,157777,1
418387,9868,1
423450,10858,1
396158,4603,1
107049167,55143,0
396207,4784,1
100861562,NA,NA
100861562,NA,NA
770453,6715,1
417962,NA,NA
421318,163859,1
420302,8000,1
427206,10412,1
100861562,NA,NA
421395,57504,1
427311,60494,0
102465347,NA,NA
770483,138241,1
426045,90665,1
426045,6907,1
100315724,NA,NA
428383,NA,NA
427847,222255,1
100315818,NA,NA
424320,4929,1
777805,NA,NA
395479,5467,1
422188,2717,1
423508,4522,1
427280,NA,0
427280,6461,0
101750303,NA,NA
102465349,NA,NA
430563,79829,0
421460,25780,1
777826,NA,NA
373997,3945,1
416746,8476,1
416870,79600,1
418366,29083,1
431244,822,1
100315930,NA,NA
101751597,84058,1
102465416,NA,NA
421604,744,1
425900,23253,1
420487,84930,1
100315706,NA,NA
396028,4254,1
101748342,642938,1
100315704,NA,NA
417261,64975,1
417859,84698,1
100315946,NA,NA
100857638,NA,NA
107056775,135946,0
107056266,NA,NA
100857683,100529261,1
100857683,2342,1
100857683,100529261,1
107057577,NA,NA
395830,5444,1
395830,5445,1
395830,5446,1
100316002,NA,NA
396019,5500,1
427076,114801,1
422461,10393,1
107057536,NA,NA
777880,NA,NA
100315917,NA,NA
769997,92345,1
425237,8568,1
425237,23076,1
100315768,NA,NA
768538,55304,1
428731,23657,1
417199,22845,1
777869,NA,NA
100858067,NA,1
426446,137872,1
395116,3744,1
776018,NA,NA
423513,57381,1
100315858,NA,NA
107049263,NA,NA
777813,NA,NA
107050231,NA,NA
395548,8929,1
770005,NA,NA
102465380,NA,NA
101752211,5921,0
427331,58493,1
777935,NA,NA
429570,NA,NA
100858059,NA,NA
420921,1767,1
100315969,NA,NA
374216,2978,1
421613,257218,1
428884,11177,1
100316004,NA,NA
423204,84936,1
777827,NA,NA
395960,2516,1
418578,6103,1
428642,51557,1
423444,64919,1
771751,85414,1
771131,30818,1
100315995,NA,NA
428440,151649,1
100859250,22844,1
100315809,NA,NA
102465678,NA,NA
102465679,NA,NA
404229,64091,1
428256,8882,1
425416,6156,1
430370,2645,1
102465386,NA,NA
416984,11113,1
107049719,5694,1
100315720,NA,NA
415567,9493,1
100858507,140732,0
100858507,6676,0
419240,NA,NA
423457,283600,1
772315,6247,1
422802,3516,1
100315891,NA,NA
420985,8577,1
420985,NA,1
422653,166824,1
102466696,NA,NA
772260,1347,1
101751309,27248,1
100315857,NA,NA
395226,3475,1
420739,23366,1
100315832,NA,NA
107050508,79873,1
418535,NA,NA
102465361,NA,NA
419175,5335,1
404775,64710,1
102465390,NA,NA
378779,650,1
427320,84240,1
102465724,NA,NA
417791,85437,1
416672,57407,1
395633,4617,1
395420,2162,1
418537,54020,1
777930,NA,NA
769360,100302736,1
427393,153562,1
100316009,NA,NA
419138,11190,1
427004,55567,1
102466184,NA,NA
420775,9263,1
102465397,NA,NA
396311,286,1
107049570,5697,1
420581,3382,1
100316000,NA,NA
427458,3190,1
427768,51148,1
777933,NA,NA
416369,10184,1
427322,83734,1
422045,10321,1
422045,7180,1
102465402,NA,NA
102466716,NA,NA
102466826,NA,NA
418460,5174,1
100498695,NA,NA
423359,8892,1
777908,NA,NA
102465313,NA,NA
421420,22950,1
100315991,NA,NA
396239,673,1
107055483,51663,0
102465357,NA,NA
100315816,NA,NA
100315736,NA,NA
428476,9856,1
419869,11218,1
100315715,NA,NA
771057,8437,1
420648,131096,1
102466702,NA,NA
100315860,NA,NA
100315904,NA,NA
421167,55705,1
777839,NA,NA
418909,9365,1
102465719,NA,NA
421898,55326,1
425859,2132,1
107049557,NA,NA
102465322,NA,NA
417279,727800,1
100315845,NA,NA
425613,4141,1
100316020,NA,NA
395857,835,1
431646,158038,1
421144,8836,1
100315966,NA,NA
431590,348980,1
416470,80727,1
100315982,NA,NA
428063,64881,1
428063,64881,1
396185,1051,1
423524,317761,1
777844,NA,NA
420403,NA,NA
102465335,NA,NA
107055523,NA,NA
100859400,57512,1
418558,139341,1
418974,284013,1
777927,NA,NA
770621,157769,1
430557,32,1
107050678,79143,0
421194,NA,NA
100315790,NA,NA
107055851,NA,NA
107055879,11194,1
428630,84553,1
422337,7224,1
100315908,NA,NA
107055925,54491,0
107055862,140732,0
107055862,6676,0
100315735,NA,NA
422955,23233,1
419689,10772,1
396497,1473,1
396497,1471,1
396497,1472,1
396497,1470,1
396497,1469,1
102465718,NA,NA
100857975,56113,1
100857975,26025,0
100857975,56108,1
100857975,56111,1
100857975,56109,1
100857975,56110,1
100857975,56106,1
100857975,56105,0
100857975,56112,1
100857975,9708,1
100315696,NA,NA
416823,11066,1
777812,NA,NA
418975,60496,1
423289,89839,0
423289,9824,1
423289,NA,0
777837,NA,NA
771124,11331,1
395435,59339,1
100498684,NA,NA
425073,2029,1
419813,51513,1
100315992,NA,NA
427217,79810,1
425302,55243,1
100315886,NA,NA
422713,NA,NA
420492,54518,1
422485,132321,1
100315733,NA,NA
418531,63977,1
777840,NA,NA
419873,333926,1
107056488,NA,NA
430382,64101,0
395577,NA,NA
420458,23560,1
100316016,NA,NA
107057182,55143,0
107057183,55143,0
427485,NA,1
427485,26529,1
427485,81797,0
100498696,NA,NA
421631,389434,1
395775,1638,1
107056571,240,0
422928,NA,NA
777799,NA,NA
102466692,NA,NA
415607,324,1
421950,79677,1
107056920,56113,0
107056920,26025,0
107056920,56108,0
107056920,56111,0
107056920,56109,0
107056920,56110,0
107056920,56106,0
107056920,56105,0
107056920,56112,0
107056920,9708,0
107050764,29844,1
102466689,NA,NA
107050719,6223,1
100315839,NA,NA
100315694,NA,NA
395359,27164,1
769288,56977,1
102465421,NA,NA
418273,6843,1
396302,344022,0
395747,2118,1
777918,NA,NA
770506,10554,0
419904,100529239,1
419904,6204,1
102465339,NA,NA
418580,6990,1
428270,148281,1
428832,NA,NA
102465375,NA,NA
419828,81788,1
100315834,NA,NA
416370,29958,1
415611,4124,1
425107,3957,1
100315949,NA,NA
102466994,NA,NA
419273,140680,1
423039,50862,1
419903,29993,1
777900,NA,NA
418953,51084,1
101749218,140456,1
102465366,NA,NA
777833,NA,NA
100859148,NA,NA
107049931,NA,NA
107049181,23563,1
107049181,4166,0
107055264,NA,NA
102465368,NA,NA
100316018,NA,NA
107049907,4200,0
770979,55052,1
419953,NA,1
419953,1636,1
422505,7486,1
777905,NA,NA
100315988,NA,NA
395156,1400,1
419128,57148,1
101751240,NA,NA
100858419,4793,1
102466183,NA,NA
100316010,NA,NA
422368,222698,0
422368,79576,1
419235,54994,1
422635,55752,1
418542,5316,1
100315907,NA,NA
425470,NA,NA
100315828,NA,NA
107056704,80135,0
422035,640,1
777922,NA,NA
420728,9881,1
428661,85465,1
395262,3977,1
777882,NA,NA
107050016,29911,0
420367,23145,1
373991,9575,1
102465348,NA,NA
430067,1785,1
100315764,NA,NA
102465319,NA,NA
417550,388341,1
427850,5649,1
395127,57099,1
777886,NA,NA
100315729,NA,NA
419276,NA,NA
102465408,NA,NA
100315707,NA,NA
771417,100526739,1
771417,378708,1
107054933,284723,1
100315699,NA,NA
418520,8624,1
102466714,NA,NA
107049031,80256,1
421850,6785,1
100857798,NA,NA
107049331,NA,NA
421340,11221,1
100315864,NA,NA
100315932,NA,NA
427942,NA,NA
396148,6194,1
421266,25927,1
427505,283726,1
421334,148362,1
102465378,NA,NA
396348,632,1
424408,55157,1
770191,79707,1
427613,2299,1
768796,219844,1
107056469,NA,NA
777914,NA,NA
107056411,6809,1
107053155,84696,1
107054696,NA,NA
102465394,NA,NA
100125831,7216,0
100125831,286514,1
100125831,139604,0
100125831,4112,0
100125831,4109,0
100125831,4114,0
100125831,4115,0
100125831,4100,0
100125831,4113,1
100125831,4111,0
100125831,4692,0
100125831,NA,0
100125831,158809,0
100125831,4107,0
100125831,54551,0
100125831,4103,0
100125831,4102,0
100125831,728269,0
100125831,139422,0
100125831,51438,0
100125831,139599,0
100125831,347541,0
100125831,56160,0
100125831,4110,0
100125831,266740,0
100125831,57692,0
100125831,645864,0
100125831,4105,0
100125831,9947,0
100125831,139081,0
100125831,64110,0
100125831,4108,0
100125831,4101,0
100125831,9500,0
100125831,81557,0
100125831,728239,0
100125831,10916,0
396487,3309,1
768938,150274,1
422985,51272,1
107056449,5866,0
419302,90203,1
395925,3762,1
422854,152789,1
407092,55833,1
416223,54825,1
421720,154215,1
107049465,9040,1
107049377,NA,NA
421154,343263,0
421154,4608,1
100857892,NA,NA
418418,90102,1
771092,7484,1
395321,7287,1
423771,93550,1
430589,25912,1
421175,127829,1
100858236,8174,0
422555,80014,1
428773,NA,1
428773,3426,1
421849,7272,1
419905,11165,1
423122,NA,NA
374254,4046,1
770953,8528,1
396490,6876,1
418184,121536,1
100859153,5300,1
427281,152006,1
427997,22866,1
420004,5469,1
428090,23052,1
424598,5052,1
422892,353497,1
771330,149986,1
417311,388335,1
421279,57162,1
770644,153733,1
107056791,NA,NA
427737,3140,0
430600,3140,0
422580,118429,1
395349,11167,1
430953,137735,1
420383,84182,1
404535,10911,1
419798,85458,1
107055989,157567,1
100857165,3703,1
107049317,7091,0
771481,55212,1
107055976,11097,0
100858302,NA,NA
100858749,80352,0
100859489,57562,1
427073,29118,0
428798,27201,1
428101,3736,1
396009,7138,1
396247,23361,0
100858824,7097,0
426807,84186,1
418370,57821,1
373977,5663,1
100858260,NA,NA
426664,10445,1
101749142,2197,1
428278,NA,NA
396399,7048,1
420717,54977,1
373910,4808,0
373910,4807,1
772218,NA,NA
395162,387914,1
422528,113612,1
425539,28989,1
395239,80333,1
415948,51246,1
408183,1592,1
421014,125704,1
107056385,25803,0
770750,389813,1
771854,494188,1
107049492,84865,1
415943,25981,1
423499,NA,NA
418977,84437,1
428199,84168,1
419200,128486,1
395417,102724428,1
395417,150094,1
100857832,NA,NA
422520,2895,1
422752,84708,1
421542,22796,1
378795,3159,1
421098,64762,1
770095,132884,1
395295,8894,1
107055947,22878,0
428166,NA,NA
417509,80228,1
423030,55742,1
423865,403,1
422650,285521,1
100859132,5924,1
418951,221143,1
419924,100188893,1
101750514,NA,NA
421463,57448,1
427765,84895,1
422442,NA,NA
420021,84313,1
423432,51156,1
417802,196527,1
421577,5071,1
428303,NA,NA
373904,NA,0
373904,8797,0
373904,8793,0
373904,8795,0
419762,23705,1
100858381,83636,1
107057643,6543,1
418499,94104,1
423131,10978,1
100859094,140576,1
107056532,81603,0
395376,5591,1
419662,653121,1
107057370,NA,NA
396283,10,1
396283,9,1
100858582,57111,1
100315725,NA,NA
395457,5045,1
100858383,5202,1
100857358,57680,0
101749694,NA,NA
374028,7122,1
777924,NA,NA
101749222,NA,NA
417118,2040,1
419912,578,1
100858763,80256,1
396328,3759,1
101747244,92799,1
421561,168002,1
107056983,NA,NA
107057587,170302,1
102465740,NA,NA
419269,642636,1
427163,23398,1
107055367,51477,1
777804,NA,NA
418501,56245,1
100315797,NA,NA
421196,84542,1
427984,3772,1
416366,55255,1
100315884,NA,NA
107055637,1102,0
429166,23208,1
395668,10178,1
420178,51110,1
395545,2487,1
107048986,64087,1
102465337,NA,NA
415906,5207,1
107056561,NA,NA
395389,220,1
424122,10477,1
100858972,728340,1
100858972,730394,1
100858972,2966,1
100858972,728340,1
423572,6655,1
777847,NA,NA
100859497,58500,0
107050243,53916,0
107050243,NA,0
771678,2977,1
395512,1879,1
100315897,NA,NA
100859189,51237,1
422576,9908,1
416887,9671,1
100315717,NA,NA
427797,9912,1
396446,488,1
772029,122945,1
100858468,5173,1
417545,435,1
417545,NA,1
416999,150209,1
102466690,NA,NA
100315779,NA,NA
417498,51009,1
723780,25842,1
102466186,NA,NA
424787,55022,1
107051305,6324,0
100858990,10695,1
769146,521,1
102465340,NA,NA
417571,94005,1
416508,10400,1
100316017,NA,NA
418962,57569,1
416094,2850,0
421610,7402,1
421712,352999,1
419310,51012,1
107055275,8851,1
100315933,NA,NA
100315823,NA,NA
422271,139322,1
770874,401190,1
100315967,NA,NA
396107,5979,1
107057612,NA,NA
395872,3576,1
100315784,NA,NA
422097,124857,1
395642,1846,1
431317,NA,NA
768838,653784,1
768838,80097,1
107055091,NA,NA
693246,55839,1
100315937,NA,NA
416351,202374,1
422258,23283,1
422258,1478,1
771456,NA,NA
424499,50999,1
424195,114790,1
421373,51514,1
378791,6252,1
102465365,NA,NA
423385,NA,NA
428527,1824,1
428527,1823,1
428527,1825,1
420013,NA,NA
100498693,NA,NA
101751691,NA,NA
427611,1836,1
100315778,NA,NA
419573,6018,1
421261,6629,1
416772,9647,1
422302,50814,1
395506,8841,1
416065,54899,1
777850,NA,NA
100498687,NA,NA
421666,NA,0
421666,84946,1
100315837,NA,NA
426109,81611,1
420168,286187,1
102465396,NA,NA
769580,NA,NA
419522,665,1
421221,494143,1
425644,7203,1
777892,NA,NA
768701,85379,0
418967,4863,1
396505,4146,1
430410,57687,1
107056004,91147,0
428761,26228,1
420447,9690,1
421956,NA,NA
777938,NA,NA
771996,NA,0
771996,85457,1
100858404,3202,1
418248,84991,1
416847,NA,NA
777861,NA,NA
395544,4092,0
107055428,4092,0
422312,55613,1
777871,NA,NA
100859914,100529097,1
100859914,6166,1
100859914,6173,1
425976,63827,1
414741,972,1
100858100,NA,NA
100315878,NA,NA
416314,51128,1
420909,220441,1
100498690,NA,NA
100859756,NA,NA
396165,652,1
100316012,NA,NA
415603,4163,1
403121,3429,1
403121,122509,1
403121,2537,0
403121,83982,1
419529,27299,1
100315973,NA,NA
419155,9139,1
417121,11064,1
395992,10491,1
777894,NA,NA
422929,NA,NA
395945,6326,1
421303,253558,1
770048,54939,1
423536,NA,NA
423364,10538,1
429041,10109,1
418928,222484,1
422478,152503,1
426323,51524,1
100316001,NA,NA
396422,7414,1
421603,120526,1
417552,55421,1
107055408,5571,1
396242,1299,1
100857929,1382,1
423583,22795,1
421738,3841,1
395742,2324,1
420104,22904,1
422544,83891,1
422849,54360,1
421029,28513,1
107056715,223,0
420574,440,1
415354,145957,1
427516,54852,1
100858023,594857,1
102465332,NA,NA
421934,8462,1
417445,5608,1
777881,NA,NA
422772,132789,1
100315877,NA,NA
422426,NA,NA
374092,1408,1
102466977,NA,NA
772096,NA,NA
107049348,NA,NA
102466703,NA,NA
100315964,NA,NA
420699,54716,1
102465376,NA,NA
772074,115201,1
102465374,NA,NA
418948,221150,1
107057324,9139,0
777893,NA,NA
102465359,NA,NA
423327,253959,1
374263,5091,0
419684,57095,1
374016,284217,1
100315976,NA,NA
100498686,NA,NA
421758,728464,1
422321,NA,NA
772383,55277,1
421223,4867,1
100498688,NA,NA
777858,NA,NA
419624,55700,1
100315971,NA,NA
422978,79733,1
100859524,256815,0
419396,5192,1
100858831,79722,1
776138,3714,1
100315915,NA,NA
102466997,NA,NA
396113,23092,1
777932,NA,NA
424350,140609,1
428163,5476,1
426514,NA,NA
100315865,NA,NA
418310,55359,1
769998,8490,1
777832,NA,NA
107052757,140732,0
107052757,6676,0
769609,54921,1
423554,55030,1
100316023,NA,NA
427642,96459,1
423943,50624,1
420625,136895,1
426136,NA,NA
777919,NA,NA
419789,2542,1
102465334,NA,NA
417172,9442,1
423439,161176,1
422780,22998,1
420643,285381,1
777872,NA,NA
417178,84814,1
102465377,NA,NA
102465677,NA,NA
395885,1271,1
416261,4238,1
416040,27258,1
100315944,NA,NA
430336,6604,1
100859858,100507341,1
396281,5744,1
101748971,84992,1
100315950,NA,NA
423600,847,1
420236,7381,1
418978,80310,1
100315746,NA,NA
421539,9816,1
422178,1193,1
770610,10347,1
423004,55177,1
427242,203238,1
102465404,NA,NA
771308,NA,NA
424995,344657,1
100315942,NA,NA
416101,5067,1
422197,4354,1
431607,375743,1
777818,NA,NA
770140,9811,1
107050697,256364,0
100315954,NA,NA
770459,6468,1
107050546,113746,0
423876,9644,1
102465325,NA,NA
102466178,NA,NA
426988,84656,1
396117,344022,0
418443,92241,1
777855,NA,NA
420562,NA,NA
416349,10915,1
421448,9587,1
100315752,NA,NA
777825,NA,NA
423404,55051,1
777903,NA,NA
100315866,NA,NA
386580,5788,1
396335,3895,1
100315796,NA,NA
102465415,NA,NA
415997,285331,1
100859365,79674,1
102466830,NA,NA
100315751,NA,NA
396133,2335,1
426781,8754,1
100315836,NA,NA
777868,NA,NA
420748,NA,NA
419220,5509,1
420963,NA,NA
107052215,NA,NA
396273,145258,1
421075,29919,1
777928,NA,NA
417565,26073,1
100315713,NA,NA
100316011,NA,NA
415832,8140,1
101750235,11249,1
100315983,NA,NA
771386,54629,1
423352,122961,1
770077,NA,NA
777824,NA,NA
422740,10395,1
777929,NA,NA
416122,6161,1
421366,128387,1
429135,51208,1
420046,NA,1
420046,125113,1
100315854,NA,NA
100315840,NA,NA
421193,9736,1
100315810,NA,NA
417221,81605,1
427406,6363,1
102466680,NA,NA
418228,80274,1
373854,57451,1
429116,5733,1
102466717,NA,NA
100538348,387522,1
100538348,387521,1
395952,8861,1
777912,NA,NA
777856,NA,NA
416588,5170,1
777802,NA,NA
419228,6227,1
430487,NA,NA
102466683,NA,NA
427139,153129,1
100315710,NA,NA
100315874,NA,NA
415585,4122,1
769765,4351,1
396054,3458,1
777815,NA,NA
107050926,NA,0
107050926,4125,0
107050926,NA,0
427823,2990,1
102466175,NA,NA
418984,114908,1
100315827,NA,NA
395542,7004,1
421684,7128,1
102466976,NA,NA
100315817,NA,NA
777878,NA,NA
424151,1781,1
373932,579,1
418206,55259,1
100858361,3291,1
102465721,NA,NA
417673,9905,1
422922,NA,NA
777795,NA,NA
395787,84296,1
770899,84296,1
395242,133418,1
421417,9577,1
100315770,NA,NA
101749459,10865,1
419313,NA,NA
423962,5791,1
769066,NA,NA
100315793,NA,NA
420473,94134,1
424214,84812,1
102466833,NA,NA
419610,79693,1
107056151,10321,0
107056151,7180,1
100189558,27329,1
423285,440275,1
100316013,NA,NA
426855,NA,NA
102465405,NA,NA
421088,361,1
100315918,NA,NA
771539,8818,1
427639,340075,1
422104,146956,1
416916,NA,NA
424290,22930,1
777846,NA,NA
418812,730249,1
408041,3854,1
408041,286887,1
408041,9119,1
408041,3853,1
408041,3852,1
415646,221184,1
100316014,NA,NA
421047,4161,1
396406,1436,1
777865,NA,NA
423961,119467,1
416871,84329,1
424745,3635,1
423696,9559,1
100315849,NA,NA
419934,493,1
772027,54665,1
102465734,NA,NA
420372,NA,NA
431316,NA,NA
100859657,NA,NA
420938,54888,1
100315808,NA,NA
428708,186,1
100858848,57409,1
428713,51082,0
416324,NA,1
416324,23305,1
100315972,NA,NA
426921,78986,1
777843,NA,NA
419664,NA,1
415378,79664,1
100315730,NA,NA
422566,80817,1
427826,NA,NA
422592,5602,1
417009,200312,1
428942,90550,1
373961,3065,1
396356,85366,1
102465422,NA,NA
777386,NA,NA
100858988,23640,1
419281,9777,1
428675,9146,1
101750914,7786,0
427461,60560,1
421059,9663,1
421750,51175,1
422374,NA,NA
421961,23369,1
421602,10480,1
427282,9830,1
427410,7415,1
724081,55113,1
415308,5780,1
424351,163486,1
416043,80852,1
427772,92714,1
419290,359710,0
395199,NA,1
395199,3561,1
421899,64478,1
771698,388730,1
421149,29089,1
101748081,84787,1
421803,9457,1
422239,541466,0
422239,102723631,0
422239,203522,1
422239,728911,0
422239,55511,0
422239,441521,0
422239,441519,0
422239,541466,0
422239,541465,0
422239,101060211,0
422239,102723737,0
422239,102723680,0
395118,6005,1
777877,NA,NA
428891,91754,1
418063,25793,1
416318,5515,1
416191,51294,1
416303,26249,1
430878,5717,1
419217,23582,1
395217,8789,1
421755,262,1
417257,54863,1
430538,10155,0
419198,3172,1
415917,7867,1
396269,6345,1
415968,100534599,1
415968,57461,1
386582,5925,1
431683,1593,1
424530,84144,1
424518,2959,1
427253,9615,1
100857698,NA,NA
107052803,NA,NA
107052849,4201,1
107055538,5871,0
425626,56652,1
107050491,2946,0
107050491,2944,0
107050491,2949,0
107050491,2948,0
107050491,2947,0
395823,285643,1
395823,24137,1
428723,51802,1
420740,80820,1
425241,54769,1
396470,4632,1
424605,3652,1
420212,11059,1
416128,64145,1
417042,NA,NA
421361,56950,1
373989,9496,1
419878,10745,1
431584,4064,1
374031,4853,1
428307,8153,1
416825,387893,1
423319,55837,1
422924,NA,NA
428593,5340,1
428593,4018,0
420273,9694,1
418568,6132,1
415352,49855,1
386586,654231,1
386586,4951,1
420670,285343,1
426024,10296,1
419526,54793,1
374067,63876,1
419187,6789,1
396130,6513,0
419471,NA,1
419471,22977,1
419471,8574,1
419197,79183,1
418963,85463,1
416954,27156,1
776599,136647,1
416466,29960,1
423517,6617,1
769579,135114,1
428634,NA,NA
422281,254065,1
425396,10908,0
427238,54801,1
395334,NA,NA
107057478,NA,NA
107057143,80142,0
771074,7274,1
424512,284695,1
419982,1659,1
419634,79932,1
419864,2979,1
422065,NA,NA
396136,3931,1
415796,146227,1
374205,1045,1
769392,389203,1
424567,81888,1
421742,221301,0
769188,84140,1
423776,2662,1
100857387,253769,1
107056198,NA,NA
426415,64077,1
769726,NA,NA
427480,6642,1
107050624,65095,1
429337,187,1
777870,NA,NA
378930,944,1
423869,119032,1
423869,NA,1
423610,NA,NA
426366,8872,1
418899,5994,1
422766,57606,1
426869,6334,1
417563,6117,1
426170,493869,1
415888,9136,1
428727,4886,1
419194,100,1
419303,10005,1
100859699,643236,1
100498691,NA,NA
418657,25878,1
422820,254251,1
100315819,NA,NA
416168,5917,1
419324,8480,1
100858704,1893,0
100315906,NA,NA
421329,7159,1
423685,64081,1
102465314,NA,NA
423263,57452,1
423451,NA,NA
107057343,55205,0
102465363,NA,NA
428190,1187,1
428190,1188,1
418990,143872,1
422173,4478,1
777883,NA,NA
102465387,NA,NA
102466679,NA,NA
396488,1270,1
418171,83592,1
425137,83592,1
772271,83592,1
416451,11033,1
102466695,NA,NA
417106,2844,1
417106,23637,1
423158,25891,1
395574,5076,1
427050,NA,NA
421335,64853,1
100315774,NA,NA
418588,257397,1
415783,2821,1
102465343,NA,NA
101747315,6273,1
101747315,6275,1
420818,7915,1
415615,64839,1
100315871,NA,NA
415927,10293,1
771745,338811,1
424810,2181,1
776013,57161,1
424026,10123,1
102465355,NA,NA
100315722,NA,NA
422618,253017,1
395606,1137,1
102466710,NA,NA
100857189,154075,1
396529,481,1
395181,3921,1
421166,8216,1
777859,NA,NA
102465316,NA,NA
415502,11214,1
422727,427,1
424112,3417,1
374124,4284,1
102465388,NA,NA
396346,3166,1
101751119,26166,1
100315859,NA,NA
423815,54708,1
418538,5152,1
421773,28962,1
422648,1633,1
107051105,NA,NA
100315945,NA,NA
102466187,NA,NA
100858408,26063,1
416158,10744,0
416158,9232,1
100498678,NA,NA
107049993,29997,1
100315948,NA,NA
395515,167838,1
419564,5511,1
107057628,84292,1
102466699,NA,NA
102466181,NA,NA
373926,2244,1
428719,63932,1
777852,NA,NA
426013,57449,1
421828,23036,1
420983,54942,1
424136,144983,1
424136,NA,1
424136,3178,1
416852,3242,1
102466709,NA,NA
418401,6152,1
417033,53373,1
395596,2034,1
693252,3570,1
422930,9451,1
102465328,NA,NA
426133,5709,1
100857454,2877,1
100315847,NA,NA
100315903,NA,NA
107049142,NA,NA
100316005,NA,NA
417464,10344,0
100315789,NA,NA
102465675,NA,NA
102466697,NA,NA
420686,11222,1
100315910,NA,NA
423562,1033,1
102465341,NA,NA
418945,6445,1
421893,401265,1
100315905,NA,NA
395293,6585,1
777848,NA,NA
771739,114793,1
102466687,NA,NA
100859441,29956,1
772331,139105,0
100315893,NA,NA
429028,55137,1
